id,order_date,price
310,2017-10-29,17267.75
311,2017-10-30,20221.23
312,2017-10-31,23813.0
313,2017-11-01,19383.61
314,2017-11-02,21263.73
315,2017-11-03,22844.05
316,2017-11-04,19169.07
317,2017-11-05,17327.44
318,2017-11-06,28600.29
319,2017-11-07,20829.71
320,2017-11-08,19240.51
321,2017-11-09,25053.34
322,2017-11-10,20223.84
323,2017-11-11,23292.07
324,2017-11-12,23087.26
325,2017-11-13,24391.97
326,2017-11-14,27049.68
327,2017-11-15,23711.29
328,2017-11-16,28268.82
329,2017-11-17,29209.07
330,2017-11-18,23233.3
331,2017-11-19,19955.56
332,2017-11-20,44284.47
333,2017-11-21,34316.64
334,2017-11-22,24962.57
335,2017-11-23,44712.88
336,2017-11-24,152653.74
337,2017-11-25,60923.48
338,2017-11-26,45315.28
339,2017-11-27,47923.66
340,2017-11-28,47886.55
341,2017-11-29,39834.75
342,2017-11-30,31322.74
343,2017-12-01,39981.91
344,2017-12-02,31208.13
345,2017-12-03,29262.920000000002
346,2017-12-04,47348.52
347,2017-12-05,33632.37
348,2017-12-06,39198.74
349,2017-12-07,28055.78
350,2017-12-08,29847.46
351,2017-12-09,20027.04
352,2017-12-10,24695.79
353,2017-12-11,33990.39
354,2017-12-12,33468.71
355,2017-12-13,29601.28
356,2017-12-14,25286.23
357,2017-12-15,27382.2
358,2017-12-16,20296.28
359,2017-12-17,19312.41
360,2017-12-18,29162.11
361,2017-12-19,20615.99
362,2017-12-20,27958.53
363,2017-12-21,18572.22
364,2017-12-22,14935.3
365,2017-12-23,12875.05
366,2017-12-24,5759.01
367,2017-12-25,10381.34
368,2017-12-26,20549.43
369,2017-12-27,17700.4
370,2017-12-28,15037.49
371,2017-12-29,16042.72
372,2017-12-30,13042.65
373,2017-12-31,8685.77
374,2018-01-01,6948.21
375,2018-01-02,25315.0
376,2018-01-03,31886.72
377,2018-01-04,34839.44
378,2018-01-05,27720.39
379,2018-01-06,27609.670000000002
380,2018-01-07,29433.01
381,2018-01-08,38714.4
382,2018-01-09,30248.91
383,2018-01-10,38479.53
384,2018-01-11,40056.96
385,2018-01-12,30988.94
386,2018-01-13,28091.91
387,2018-01-14,30962.53
388,2018-01-15,38330.3
389,2018-01-16,44237.17
390,2018-01-17,36089.22
391,2018-01-18,27774.77
392,2018-01-19,29954.78
393,2018-01-20,22381.68
394,2018-01-21,23829.829999999998
395,2018-01-22,37137.64
396,2018-01-23,34746.17
397,2018-01-24,31700.17
398,2018-01-25,29634.42
399,2018-01-26,33995.0
400,2018-01-27,22031.08
401,2018-01-28,24100.75
402,2018-01-29,30481.32
403,2018-01-30,29588.85
404,2018-01-31,32721.59
405,2018-02-01,30362.15
406,2018-02-02,27731.6
407,2018-02-03,23448.66
408,2018-02-04,23989.79
409,2018-02-05,37360.84
410,2018-02-06,34119.38
411,2018-02-07,31306.23
412,2018-02-08,27314.73
413,2018-02-09,30743.07
414,2018-02-10,21248.16
415,2018-02-11,22504.98
416,2018-02-12,23310.73
417,2018-02-13,23638.34
418,2018-02-14,37079.65
419,2018-02-15,32279.91
420,2018-02-16,26894.99
421,2018-02-17,24952.760000000002
422,2018-02-18,24592.43
423,2018-02-19,28190.63
424,2018-02-20,36568.57
425,2018-02-21,32401.69
426,2018-02-22,32718.71
427,2018-02-23,28424.7
428,2018-02-24,24263.510000000002
429,2018-02-25,29203.77
430,2018-02-26,43750.96
431,2018-02-27,40267.2
432,2018-02-28,45510.57
433,2018-03-01,39651.51
434,2018-03-02,31776.46
435,2018-03-03,26394.97
436,2018-03-04,32441.9
437,2018-03-05,38323.07
438,2018-03-06,39173.99
439,2018-03-07,36137.89
440,2018-03-08,28156.39
441,2018-03-09,28405.44
